PLAYERID,NAME,CLUB,GRADE,ERA,G,W,L,SV,HLD,IP,H,HR,BB,HBP,SO
406,전유수,SK,B,5.13,46,2,4,0,3,54.333,67,6,29,0,45
220,백정현,삼성,C,5.77,70,6,3,0,9,68.667,73,9,30,2,77
397,장원삼,삼성,C,7.01,26,5,8,0,2,78.333,114,16,23,2,53
168,박근홍,삼성,C,7.46,60,0,2,0,9,41,42,5,27,4,40
268,안지만,삼성,C,5.79,31,2,5,5,5,37.333,44,9,15,4,41
141,레온,삼성,C,11.25,2,0,1,0,0,8,16,2,1,1,7
425,정인욱,삼성,C,6.81,27,4,7,0,0,111,138,19,62,8,70
39,김기태,삼성,C,7.08,17,4,4,0,0,75,94,20,22,10,34
291,웹스터,삼성,C,5.7,12,4,4,0,0,71,72,10,47,3,59
494,플란데,삼성,C,7.6,13,2,6,0,0,68.667,92,13,33,1,56
224,벨레스터,삼성,C,8.03,3,0,3,0,0,12.333,20,1,12,0,5
49,김동호,삼성,C,7.64,33,0,1,0,2,33,46,5,14,3,21
378,임대한,삼성,C,5.14,26,0,1,0,0,28,33,2,14,2,13
126,김현우,삼성,C,3.48,17,1,0,0,0,20.667,26,3,4,2,19
34,김건한,삼성,C,3.72,3,1,0,0,0,9.667,9,1,3,1,7
252,신용운,삼성,C,3.38,13,0,0,0,2,8,12,0,4,3,7
487,최충연,삼성,C,12.91,3,0,2,0,0,7.667,11,2,11,0,6
172,박민규,삼성,C,4.26,6,0,0,0,0,6.333,7,0,5,0,4
448,조현근,삼성,C,13.5,3,0,0,0,0,5.333,12,2,3,1,5
76,김승현,삼성,C,0,2,0,0,0,0,2,1,0,0,0,1
389,임현준,삼성,C,36,2,0,0,0,0,1,4,1,0,1,0
100,김정훈,넥센,C,5.26,34,1,5,0,0,63.333,71,9,29,6,28
154,맥그레거,넥센,C,5.2,14,6,3,0,0,90,108,13,20,2,61
